City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Hurricane,US,75.67,overcast clouds,37.1753,-113.2899,Super 8 by Wyndham Hurricane Zion National Park
8,Mahebourg,MU,82.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
14,Sola,VU,81.27,broken clouds,-13.8833,167.55,Leumerus Bungalows
20,Butaritari,KI,82.35,few clouds,3.0707,172.7902,Isles Sunset Lodge
23,Carnarvon,AU,80.67,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
25,Tomball,US,80.6,broken clouds,30.0972,-95.6161,La Quinta Inn & Suites by Wyndham Tomball
26,Garoua,CM,84.65,overcast clouds,9.3,13.4,Dreamland Hotel Annexe Bockle
27,Kieta,PG,83.05,light rain,-6.2167,155.6333,Uruna Bay Retreat
28,Hithadhoo,MV,84.52,scattered clouds,-0.6,73.0833,Scoop Guest House
31,Mogadishu,SO,87.67,broken clouds,2.0371,45.3438,Hotel Juba
32,Rikitea,PF,77.43,clear sky,-23.1203,-134.9692,People ThankYou
38,Saint-Joseph,RE,80.98,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
39,Cabo San Lucas,MX,77.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
44,Saint-Philippe,RE,81.99,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
48,Dingle,PH,89.37,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
60,Sawakin,SD,83.3,clear sky,19.1059,37.3321,فندق الدويم
64,Camargo,MX,77.4,clear sky,27.6667,-105.1667,Hotel Santa Fe
66,Weligama,LK,87.21,broken clouds,5.9667,80.4167,Weligama Bay Resort
70,Sabzevar,IR,79.88,broken clouds,36.2126,57.6819,پزشکی قانونی سبزوار
74,Bandarbeyla,SO,87.15,broken clouds,9.4942,50.8122,JABIR HOTEL
78,Saint George,US,77.59,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
79,Araouane,ML,80.31,clear sky,18.9048,-3.5265,
90,Kemin,KG,76.71,few clouds,42.7846,75.6892,Hotel Kok-Oirok
99,Nanakuli,US,76.98,few clouds,21.3906,-158.1547,Camp Pālehua
100,Marzuq,YE,85.77,scattered clouds,14.4,46.4667,
104,Cocobeach,GA,78.37,overcast clouds,1.0002,9.5823,Hotel Esperance
110,Caravelas,BR,76.23,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
112,Faya,SA,77.11,few clouds,18.3851,42.4509,املاك خالد الشعشوع
123,Nebbi,UG,75.24,light rain,2.4783,31.0889,Satellite One Hotel
131,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
132,Diffa,NE,86.0,scattered clouds,13.3154,12.6113,ProDAF/Diffa
134,Karwar,IN,87.69,few clouds,14.8,74.1333,Netalco Connects
140,Kirakira,SB,82.02,overcast clouds,-10.4544,161.9205,SanBiz Lodge
141,Vaitape,PF,82.18,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
