City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Barrow,US,2022-05-03 02:46:45,71.2906,-156.7887,19.42,93,100,9.22
1,Atuona,PF,2022-05-03 02:56:03,-9.8,-139.0333,79.61,79,74,15.48
2,Mataura,NZ,2022-05-03 02:55:48,-46.1927,168.8643,64.06,51,4,1.74
3,Ocos,GT,2022-05-03 02:56:04,14.5094,-92.1933,84.02,73,2,7.81
4,Vila,PT,2022-05-03 02:56:05,42.0304,-8.1588,42.69,80,25,5.46
5,Ambon,ID,2022-05-03 02:56:05,-3.6954,128.1814,91.54,62,20,3.44
6,San Andres,CO,2022-05-03 02:56:06,12.5847,-81.7006,82.42,89,40,2.3
7,Busselton,AU,2022-05-03 02:54:33,-33.65,115.3333,62.26,58,47,12.59
8,Hermanus,ZA,2022-05-03 02:53:11,-34.4187,19.2345,60.98,95,23,6.44
9,Punta Arenas,CL,2022-05-03 02:53:07,-53.15,-70.9167,42.12,75,100,16.53
10,Codrington,AU,2022-05-03 02:56:07,-38.2667,141.9667,69.73,41,100,19.33
11,Cherskiy,RU,2022-05-03 02:56:08,68.75,161.3,32.67,97,81,1.79
12,Torbay,CA,2022-05-03 02:55:47,47.6666,-52.7314,39.76,94,75,11.5
13,Ostrovnoy,RU,2022-05-03 02:48:03,68.0531,39.5131,31.32,98,100,21.92
14,Mahebourg,MU,2022-05-03 02:55:09,-20.4081,57.7,74.25,100,75,0.0
15,Sao Filipe,CV,2022-05-03 02:56:09,14.8961,-24.4956,72.45,77,98,7.11
16,Rikitea,PF,2022-05-03 02:54:38,-23.1203,-134.9692,77.47,74,100,11.25
17,Dimbokro,CI,2022-05-03 02:56:10,6.6451,-4.7048,74.61,95,100,2.71
18,Lebu,CL,2022-05-03 02:42:57,-37.6167,-73.65,50.29,87,5,14.83
19,Mahina,PF,2022-05-03 02:56:10,-17.5065,-149.489,82.17,65,20,10.36
20,Lavrentiya,RU,2022-05-03 02:56:11,65.5833,-171.0,22.82,63,54,3.33
21,Ushuaia,AR,2022-05-03 02:51:38,-54.8,-68.3,37.06,81,35,0.0
22,Port Alfred,ZA,2022-05-03 02:46:52,-33.5906,26.891,64.71,61,96,8.9
23,Guilin,CN,2022-05-03 02:56:12,25.2819,110.2864,71.71,45,55,6.02
24,Mount Isa,AU,2022-05-03 02:53:44,-20.7333,139.5,85.77,35,2,5.75
25,Zhaotong,CN,2022-05-03 02:56:13,27.3167,103.7167,53.91,47,100,2.71
26,Broome,US,2022-05-03 02:49:30,42.2506,-75.833,54.14,92,100,4.61
27,Samarai,PG,2022-05-03 02:56:14,-10.6167,150.6667,82.99,73,20,7.31
28,Chudniv,UA,2022-05-03 02:56:14,50.052,28.1175,46.06,85,98,5.86
29,Mogadishu,SO,2022-05-03 02:56:15,2.0371,45.3438,79.57,84,75,10.76
30,Trinidad,BO,2022-05-03 02:56:15,-14.8333,-64.9,77.95,75,56,4.41
31,Hithadhoo,MV,2022-05-03 02:49:37,-0.6,73.0833,82.54,80,100,17.69
32,Ila,NO,2022-05-03 02:56:16,63.4305,10.3705,37.4,87,96,1.01
33,Huilong,CN,2022-05-03 02:56:16,31.8111,121.655,67.44,66,27,8.01
34,Katsuura,JP,2022-05-03 02:55:58,35.1333,140.3,58.37,64,30,11.54
35,Chuy,UY,2022-05-03 02:49:32,-33.6971,-53.4616,56.59,75,91,7.36
36,Nunoa,PE,2022-05-03 02:56:17,-14.48,-70.6411,42.3,74,46,5.82
37,Butaritari,KI,2022-05-03 02:46:55,3.0707,172.7902,80.64,80,17,9.98
38,Hami,CN,2022-05-03 02:56:18,42.8,93.45,75.47,6,37,6.73
39,Leningradskiy,RU,2022-05-03 02:56:19,69.3833,178.4167,20.01,90,73,10.89
40,Hobart,AU,2022-05-03 02:53:05,-42.8794,147.3294,71.26,48,0,13.8
